image_path,true_label,model,target_object,top_prediction,top_prediction_confidence,matched_label,mapped,confidence,threshold,success,processing_time_ms
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_01.jpg,book,resnet,book,bookcase,0.8599,book,True,0.8599,0.4,True,75.19
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_01.jpg,book,resnet,bottle,bookcase,0.8599,,False,0.8599,0.4,False,75.19
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_01.jpg,book,resnet,cup,bookcase,0.8599,,False,0.8599,0.4,False,75.19
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_01.jpg,book,resnet,keyboard,bookcase,0.8599,,False,0.8599,0.4,False,75.19
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_01.jpg,book,resnet,laptop,bookcase,0.8599,,False,0.8599,0.4,False,75.19
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_01.jpg,book,resnet,mouse,bookcase,0.8599,,False,0.8599,0.4,False,75.19
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_01.jpg,book,resnet,remote control,bookcase,0.8599,cassette player,True,0.0328,0.4,False,75.19
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_01.jpg,book,resnet,toothbrush,bookcase,0.8599,,False,0.8599,0.4,False,75.19
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_02.jpg,book,resnet,book,binder,0.2828,ring binder,True,0.2828,0.4,False,55.39
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_02.jpg,book,resnet,bottle,binder,0.2828,,False,0.2828,0.4,False,55.39
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_02.jpg,book,resnet,cup,binder,0.2828,,False,0.2828,0.4,False,55.39
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_02.jpg,book,resnet,keyboard,binder,0.2828,,False,0.2828,0.4,False,55.39
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_02.jpg,book,resnet,laptop,binder,0.2828,modem,True,0.1258,0.4,False,55.39
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_02.jpg,book,resnet,mouse,binder,0.2828,modem,True,0.1258,0.4,False,55.39
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_02.jpg,book,resnet,remote control,binder,0.2828,modem,True,0.1258,0.4,False,55.39
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_02.jpg,book,resnet,toothbrush,binder,0.2828,medicine chest,True,0.021,0.4,False,55.39
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_03.jpg,book,resnet,book,book jacket,0.7527,book jacket,True,0.7527,0.4,True,58.78
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_03.jpg,book,resnet,bottle,book jacket,0.7527,,False,0.7527,0.4,False,58.78
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_03.jpg,book,resnet,cup,book jacket,0.7527,,False,0.7527,0.4,False,58.78
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_03.jpg,book,resnet,keyboard,book jacket,0.7527,,False,0.7527,0.4,False,58.78
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_03.jpg,book,resnet,laptop,book jacket,0.7527,modem,True,0.0053,0.4,False,58.78
C:\Users\user\Documents\?¥ì‹¤1\test_images\book\book_03.jpg,book,resnet,mouse,book jacket,0.7527,modem,True,0.0053,0.4,False,58.78
